LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
85000.0,1,1,2,50,0,1,0,2,-1,-1,41600.0,40400.0,19700.0,33700.0,111000.0,24900.0,1500.0,45000.0,25700.0,5500.0,12000.0,2900.0,0
145000.0,1,2,2,35,0,3,2,0,0,0,26400.0,66000.0,103000.0,58900.0,5200.0,32200.0,11600.0,24900.0,28500.0,5100.0,7000.0,4600.0,0
80000.0,2,2,2,43,2,2,1,-1,2,-1,32600.0,52200.0,77600.0,58900.0,22300.0,80300.0,28600.0,5700.0,14600.0,3300.0,3500.0,6400.0,0
105000.0,2,2,2,26,0,0,0,0,0,0,29000.0,77500.0,16700.0,46400.0,28400.0,13000.0,15100.0,6000.0,19100.0,12200.0,19600.0,15400.0,0
132000.0,1,3,2,38,-1,-1,1,-1,0,0,62700.0,45800.0,37300.0,45500.0,36900.0,56400.0,6000.0,19200.0,30800.0,10700.0,16700.0,13600.0,0
51000.0,1,1,2,35,0,0,0,1,3,0,130800.0,77700.0,63400.0,39100.0,23300.0,149500.0,25800.0,18300.0,2800.0,21900.0,1600.0,3500.0,0
238000.0,2,2,1,38,0,-1,0,0,0,1,88200.0,72500.0,64100.0,125500.0,29700.0,30000.0,23500.0,36600.0,18700.0,8000.0,6000.0,3200.0,0
43000.0,1,2,1,35,0,1,-1,-1,0,0,39900.0,39700.0,8800.0,31900.0,43100.0,57700.0,13300.0,9200.0,10900.0,27000.0,10700.0,7500.0,0
38000.0,2,2,1,44,0,1,0,0,1,0,68400.0,29000.0,55900.0,8200.0,49000.0,20800.0,10300.0,9200.0,22800.0,10600.0,23000.0,4000.0,1
155000.0,2,2,2,27,0,0,0,0,0,0,21900.0,68500.0,57400.0,50500.0,27200.0,73100.0,15500.0,5800.0,12900.0,18200.0,3100.0,11000.0,0
225000.0,1,1,2,31,3,-1,-1,0,-1,2,73400.0,23200.0,15800.0,25800.0,122500.0,36900.0,3800.0,3900.0,9500.0,19400.0,6000.0,32000.0,0
152000.0,2,1,1,35,3,1,2,0,0,2,12400.0,6900.0,43300.0,14500.0,73800.0,39000.0,7600.0,12500.0,14900.0,2400.0,9800.0,5400.0,0
122000.0,1,2,2,42,1,0,0,1,1,0,69200.0,40800.0,35200.0,28500.0,10100.0,7200.0,6500.0,16800.0,7100.0,6200.0,2900.0,8800.0,0
105000.0,2,1,2,40,1,0,-1,0,0,2,50800.0,197000.0,38000.0,22200.0,23100.0,222700.0,15400.0,13200.0,2500.0,19100.0,30600.0,13500.0,0
91000.0,2,2,1,47,1,-1,0,2,-1,0,40500.0,91300.0,43600.0,16800.0,26600.0,30800.0,10500.0,6200.0,6800.0,22800.0,8900.0,33700.0,0
275000.0,2,1,1,51,-1,1,0,-1,0,0,9300.0,17600.0,14400.0,43300.0,31600.0,32900.0,4700.0,4100.0,1500.0,17900.0,8800.0,14700.0,0
170000.0,2,2,1,41,3,3,0,0,0,-1,36000.0,57900.0,27000.0,4900.0,109600.0,116200.0,11800.0,2000.0,1900.0,1800.0,7100.0,16100.0,0
97000.0,2,1,2,37,-1,0,-1,-1,0,-1,76200.0,124300.0,93800.0,48400.0,30000.0,57000.0,16900.0,6900.0,700.0,26100.0,1200.0,17900.0,0
75000.0,1,2,2,25,0,-1,0,2,-1,0,9400.0,10300.0,63100.0,64400.0,48500.0,43200.0,19100.0,13400.0,15300.0,8200.0,6100.0,16900.0,0
207000.0,2,2,1,21,0,0,0,-1,2,0,51500.0,25300.0,197100.0,31300.0,20400.0,30000.0,8700.0,3600.0,16200.0,6500.0,20600.0,14400.0,0
271000.0,2,2,2,22,-1,2,0,1,2,0,124500.0,11900.0,27900.0,27600.0,32200.0,44200.0,34600.0,17300.0,7100.0,20300.0,14900.0,6900.0,0
254000.0,1,1,1,26,0,0,-1,2,-1,1,25100.0,74400.0,32000.0,62500.0,20700.0,83900.0,18100.0,6800.0,5200.0,17200.0,6700.0,10400.0,0
64000.0,1,2,2,41,0,0,2,1,-1,0,36700.0,21200.0,77200.0,21900.0,131500.0,33100.0,4600.0,12600.0,8000.0,10200.0,5800.0,4000.0,1
104000.0,2,2,2,22,-1,1,0,2,0,0,28100.0,42800.0,5000.0,69700.0,38800.0,40100.0,11100.0,1300.0,3000.0,8500.0,5000.0,9000.0,0
90000.0,1,2,2,47,0,-1,-1,0,0,3,27100.0,49000.0,54700.0,15600.0,23000.0,57000.0,7700.0,1600.0,9600.0,18100.0,27300.0,19800.0,0
115000.0,2,2,2,35,0,0,0,-1,2,0,42200.0,85400.0,97000.0,23100.0,26800.0,52200.0,16900.0,3300.0,1100.0,5600.0,13300.0,2500.0,0
236000.0,1,1,1,25,2,-1,2,0,-1,0,112400.0,16100.0,39000.0,58500.0,62800.0,89100.0,27700.0,9300.0,5600.0,12900.0,14400.0,3900.0,0
328000.0,1,1,2,49,0,1,3,0,0,-1,61400.0,59700.0,99400.0,29800.0,33500.0,40400.0,9900.0,8100.0,4400.0,27600.0,6700.0,600.0,1
174000.0,2,1,2,47,1,0,0,0,-1,2,128000.0,23900.0,42100.0,22800.0,56200.0,31600.0,11400.0,11500.0,41500.0,12500.0,38900.0,23300.0,1
77000.0,1,1,1,44,0,-1,1,2,-1,0,91000.0,138700.0,124200.0,66200.0,125500.0,92900.0,16500.0,19700.0,2400.0,5700.0,19700.0,400.0,0
130000.0,1,1,2,36,0,2,-1,-1,0,2,7600.0,94500.0,13300.0,38100.0,38100.0,5900.0,27800.0,4600.0,3100.0,1400.0,2100.0,10200.0,0
369000.0,2,3,1,40,-1,-1,2,-1,0,0,41200.0,32600.0,31600.0,22000.0,15100.0,9800.0,10600.0,8200.0,22200.0,2500.0,14700.0,4300.0,0
143000.0,1,1,2,21,-1,-1,0,0,-1,2,32200.0,32600.0,71300.0,58900.0,51600.0,28700.0,13300.0,4100.0,14500.0,5700.0,9300.0,10500.0,0
105000.0,1,1,2,29,2,-1,-1,2,0,0,28500.0,27000.0,10500.0,23200.0,46700.0,13700.0,23700.0,14700.0,24400.0,7400.0,7300.0,22200.0,0
112000.0,1,2,1,30,3,0,-1,-1,0,0,97700.0,46400.0,103700.0,21800.0,10400.0,1000.0,7000.0,12500.0,4100.0,2600.0,2600.0,20000.0,1
174000.0,1,3,2,21,3,0,0,0,3,0,42700.0,67800.0,36500.0,48600.0,40300.0,19300.0,4900.0,10900.0,2300.0,8100.0,2200.0,1600.0,1
66000.0,2,3,2,34,0,0,0,0,0,0,60600.0,23400.0,20900.0,9500.0,134200.0,36600.0,50100.0,2700.0,3800.0,3000.0,7400.0,10500.0,0
88000.0,1,2,2,38,0,-1,1,2,0,0,28500.0,85400.0,33200.0,82600.0,21800.0,122300.0,21600.0,21900.0,21500.0,15200.0,12500.0,14900.0,0
252000.0,2,1,1,27,-1,2,0,-1,0,0,62000.0,68400.0,93100.0,40500.0,50000.0,96100.0,11900.0,14500.0,30900.0,9300.0,10500.0,2900.0,0
170000.0,1,1,2,33,-1,1,0,0,-1,0,72100.0,6700.0,70000.0,29900.0,10900.0,10100.0,8800.0,1000.0,18900.0,2000.0,9800.0,14200.0,0
144000.0,1,1,2,30,1,0,-1,2,0,3,76400.0,34100.0,13100.0,4300.0,28800.0,28100.0,14900.0,3200.0,3400.0,22600.0,1700.0,5100.0,0
260000.0,2,1,1,24,-1,-1,0,0,0,-1,167500.0,198800.0,18900.0,70500.0,14700.0,25400.0,7200.0,10300.0,9000.0,10000.0,1800.0,1400.0,0
73000.0,2,2,2,40,0,-1,-1,0,1,-1,56900.0,46800.0,33300.0,31000.0,44300.0,29000.0,4700.0,4200.0,1200.0,17300.0,3500.0,9400.0,0
102000.0,1,3,2,44,0,0,0,0,0,0,25300.0,10800.0,30000.0,12400.0,40600.0,18300.0,3100.0,2600.0,5400.0,1100.0,12000.0,28300.0,0
166000.0,2,1,1,42,-1,1,1,1,-1,0,22700.0,11600.0,57000.0,55800.0,47100.0,56000.0,6000.0,2600.0,4900.0,7900.0,4200.0,6200.0,0
162000.0,1,2,2,35,3,1,0,-1,3,-1,93100.0,20700.0,20400.0,107000.0,50100.0,49600.0,7700.0,5600.0,6800.0,14400.0,7200.0,12000.0,1
34000.0,2,3,2,26,-1,1,-1,-1,0,0,90000.0,23300.0,56900.0,39800.0,78100.0,60700.0,3400.0,21200.0,11200.0,6600.0,10800.0,9400.0,0
94000.0,2,2,1,32,-1,0,2,0,0,-1,94000.0,61000.0,52700.0,55200.0,17900.0,43100.0,11500.0,9700.0,15300.0,9700.0,10300.0,1400.0,0
117000.0,1,3,1,42,1,-1,0,1,-1,0,38100.0,44800.0,5800.0,96700.0,61700.0,19600.0,4700.0,5800.0,11700.0,26200.0,18600.0,8500.0,0
180000.0,1,3,1,38,2,-1,3,1,0,-1,41500.0,33300.0,89500.0,21600.0,38800.0,79400.0,8400.0,10000.0,5400.0,1900.0,2800.0,10700.0,0
162000.0,2,2,1,25,3,0,0,2,3,1,63400.0,4200.0,12700.0,120100.0,190800.0,58700.0,8100.0,26100.0,19700.0,5300.0,2300.0,25600.0,1
126000.0,1,2,1,36,-1,0,1,-1,-1,-1,19900.0,43600.0,58400.0,46000.0,11500.0,76900.0,7900.0,25600.0,40200.0,600.0,1300.0,15500.0,0
17000.0,2,2,2,35,0,0,1,0,1,3,73000.0,32800.0,59700.0,13000.0,22200.0,40100.0,1700.0,12200.0,3700.0,6200.0,6500.0,3700.0,0
131000.0,1,2,2,32,0,0,0,-1,3,0,46700.0,24000.0,49400.0,39100.0,36700.0,70600.0,10900.0,2000.0,11600.0,24400.0,7300.0,500.0,0
140000.0,2,1,1,35,1,1,0,3,0,0,38600.0,24700.0,33800.0,69300.0,3900.0,99200.0,18100.0,27300.0,44600.0,1600.0,6300.0,25600.0,1
584000.0,2,3,2,27,3,1,0,0,0,1,22200.0,108000.0,32200.0,12000.0,4000.0,60000.0,5300.0,9900.0,5400.0,7300.0,11500.0,8500.0,1
114000.0,2,2,1,44,3,0,-1,-1,2,-1,70100.0,15800.0,77900.0,17900.0,20100.0,53300.0,8200.0,29400.0,14100.0,29100.0,19700.0,28100.0,0
167000.0,2,2,1,37,1,3,-1,0,-1,1,89200.0,46600.0,13500.0,21500.0,27700.0,38100.0,15200.0,2400.0,29500.0,22100.0,47200.0,7600.0,0
290000.0,2,2,1,44,0,0,0,0,2,0,81600.0,38800.0,23300.0,84900.0,25100.0,33400.0,1700.0,13000.0,17900.0,19000.0,600.0,3200.0,0
227000.0,2,1,2,23,3,3,2,0,0,0,55600.0,40600.0,56300.0,73800.0,92500.0,28700.0,5000.0,13600.0,13100.0,7400.0,3500.0,22700.0,0
337000.0,2,3,2,36,3,-1,0,-1,0,0,69400.0,45100.0,25100.0,50100.0,55000.0,16200.0,9300.0,8700.0,10300.0,10100.0,9800.0,1800.0,0
35000.0,2,1,2,51,0,3,2,0,2,-1,35700.0,13100.0,82500.0,52800.0,89400.0,12800.0,21200.0,30000.0,10300.0,9500.0,7800.0,8100.0,1
55000.0,1,2,2,29,0,0,0,-1,0,0,25600.0,38000.0,24100.0,58000.0,112200.0,59200.0,12900.0,36300.0,7300.0,20500.0,25100.0,1700.0,0
83000.0,2,2,1,44,2,-1,0,1,0,0,18400.0,64700.0,40500.0,13900.0,123900.0,52300.0,21000.0,2700.0,22300.0,4000.0,27400.0,1800.0,0
29000.0,1,2,2,36,-1,0,-1,0,3,-1,43900.0,66800.0,45900.0,42000.0,45000.0,77700.0,14900.0,7500.0,5200.0,20800.0,3700.0,19600.0,1
141000.0,1,2,1,45,-1,1,0,0,0,0,116700.0,13500.0,105500.0,39800.0,5700.0,116900.0,5400.0,14000.0,4800.0,25900.0,20300.0,3200.0,1
59000.0,1,1,2,31,1,-1,-1,1,0,1,10100.0,17800.0,80800.0,26000.0,17400.0,137100.0,16400.0,31100.0,19000.0,9200.0,10700.0,13100.0,1
366000.0,1,3,1,47,2,0,0,2,-1,0,44400.0,73900.0,55900.0,13200.0,105100.0,37800.0,6400.0,15900.0,13300.0,13400.0,12600.0,10900.0,1
68000.0,2,1,2,40,0,0,0,-1,0,0,122500.0,96100.0,43900.0,35600.0,27800.0,87900.0,3000.0,1400.0,10100.0,8500.0,18400.0,2200.0,1
103000.0,2,1,1,26,0,-1,-1,0,2,1,28800.0,8200.0,18300.0,19300.0,88200.0,106500.0,600.0,5400.0,14500.0,9300.0,12600.0,17000.0,0
236000.0,1,1,2,43,-1,0,0,1,0,1,81900.0,20400.0,38500.0,83600.0,142700.0,57200.0,15200.0,400.0,8300.0,8900.0,28200.0,10400.0,0
42000.0,1,2,1,45,-1,-1,3,-1,-1,0,56900.0,21400.0,89700.0,156800.0,88400.0,59000.0,3100.0,7800.0,19700.0,4000.0,7100.0,2800.0,0
27000.0,2,2,1,47,0,0,0,0,1,-1,31200.0,14500.0,40700.0,44100.0,108600.0,21900.0,8500.0,3400.0,4100.0,2300.0,39600.0,25600.0,0
153000.0,1,2,2,23,0,0,2,1,-1,0,75600.0,47500.0,61000.0,55200.0,17700.0,49700.0,5700.0,5200.0,600.0,7600.0,54500.0,2900.0,0
162000.0,2,1,3,37,-1,-1,0,0,0,0,50300.0,16700.0,35300.0,117900.0,95000.0,24600.0,9200.0,9600.0,1800.0,15300.0,11300.0,1200.0,0
231000.0,2,2,2,55,0,-1,0,0,0,0,119200.0,65600.0,66700.0,53000.0,24000.0,25100.0,2700.0,21800.0,7900.0,11900.0,4000.0,13600.0,0
195000.0,1,1,2,38,0,-1,0,0,0,0,42600.0,97000.0,33000.0,148600.0,13500.0,17000.0,8200.0,4700.0,1800.0,12400.0,1600.0,16400.0,1
166000.0,1,2,1,21,3,0,-1,-1,-1,2,81500.0,84800.0,30400.0,65900.0,34200.0,99100.0,10900.0,21300.0,11400.0,4400.0,12600.0,6800.0,0
75000.0,2,3,1,40,0,0,3,0,1,-1,43000.0,37200.0,12200.0,18900.0,9400.0,77300.0,3500.0,33200.0,5000.0,1200.0,12100.0,46700.0,1
159000.0,2,2,1,44,-1,-1,0,1,-1,0,13600.0,57300.0,57000.0,126200.0,71600.0,116100.0,17100.0,30900.0,10600.0,8400.0,7300.0,3000.0,0
166000.0,2,3,1,47,0,1,-1,0,0,1,62500.0,51800.0,71500.0,38600.0,63800.0,14700.0,8200.0,27900.0,18600.0,16400.0,16600.0,1400.0,0
72000.0,2,2,2,30,0,2,-1,0,-1,0,74100.0,121800.0,119400.0,98000.0,48500.0,68500.0,15700.0,15600.0,13300.0,1700.0,8500.0,10400.0,1
434000.0,2,2,1,23,1,0,0,-1,0,0,116200.0,27200.0,67400.0,115400.0,60900.0,70600.0,5400.0,26300.0,33800.0,20300.0,4900.0,13400.0,1
189000.0,2,2,2,46,0,3,0,-1,2,0,150800.0,17400.0,25500.0,29300.0,81600.0,37500.0,6900.0,6500.0,31100.0,7500.0,17000.0,4900.0,0
56000.0,1,2,2,34,0,3,1,0,0,0,51100.0,16600.0,11300.0,34000.0,17200.0,58600.0,3100.0,15500.0,3800.0,11700.0,4300.0,8400.0,0
232000.0,2,1,2,33,0,-1,-1,-1,0,-1,52800.0,17100.0,44100.0,20900.0,42300.0,11600.0,11800.0,3100.0,13900.0,12900.0,7100.0,19300.0,0
260000.0,2,1,2,27,0,3,2,1,0,0,39600.0,33600.0,35700.0,72100.0,31400.0,47000.0,8600.0,14800.0,5600.0,6700.0,3600.0,23400.0,0
181000.0,2,2,3,37,0,0,-1,0,1,-1,57100.0,60200.0,34400.0,18500.0,49300.0,34000.0,14300.0,46100.0,2700.0,500.0,12900.0,6400.0,0
110000.0,1,2,1,29,-1,0,1,-1,0,0,41300.0,77500.0,3900.0,43100.0,55200.0,22400.0,13600.0,14000.0,19800.0,21400.0,18500.0,10000.0,0
70000.0,2,4,1,21,0,0,-1,0,-1,-1,12400.0,56000.0,19900.0,10300.0,6500.0,23100.0,9400.0,29700.0,43000.0,9500.0,12100.0,25800.0,1
126000.0,1,3,2,29,0,0,0,0,0,1,36500.0,6400.0,26000.0,72100.0,49700.0,69300.0,5200.0,3300.0,17100.0,7900.0,5500.0,12700.0,0
172000.0,2,3,2,29,-1,1,3,0,0,0,58600.0,17000.0,83600.0,40000.0,51200.0,10200.0,12200.0,10400.0,2700.0,9600.0,5300.0,20300.0,0
135000.0,1,1,2,21,-1,0,0,0,0,0,163400.0,134800.0,15800.0,32300.0,19400.0,98700.0,16200.0,6900.0,900.0,11900.0,5400.0,18500.0,0
347000.0,1,2,2,33,-1,1,0,0,1,-1,60300.0,10200.0,36700.0,38400.0,237400.0,10700.0,17800.0,15200.0,15200.0,6400.0,1400.0,2100.0,0
209000.0,1,1,2,25,0,-1,1,0,0,0,51900.0,30800.0,64800.0,2400.0,24000.0,91900.0,17100.0,23500.0,10700.0,17300.0,2000.0,20700.0,1
63000.0,2,2,1,33,0,3,-1,3,-1,0,13600.0,14900.0,19000.0,86000.0,19900.0,51400.0,27100.0,10900.0,3200.0,9100.0,9200.0,31200.0,0
50000.0,2,1,2,39,-1,0,-1,-1,0,1,10300.0,100800.0,70200.0,81400.0,40400.0,89100.0,5300.0,18900.0,10000.0,10200.0,8400.0,2000.0,0
190000.0,1,2,1,40,0,0,0,-1,-1,0,44300.0,68900.0,53800.0,108100.0,2600.0,69100.0,7200.0,3700.0,8000.0,8600.0,6200.0,14100.0,0
112000.0,1,2,1,21,0,-1,0,-1,-1,2,13200.0,39000.0,81400.0,53500.0,99500.0,27000.0,7800.0,2200.0,15200.0,7200.0,3200.0,5000.0,0
222000.0,1,1,2,44,-1,0,0,0,0,1,49500.0,31000.0,43300.0,5700.0,24000.0,112300.0,8000.0,50100.0,5800.0,2200.0,2000.0,4500.0,1
188000.0,2,2,1,50,3,0,0,-1,2,0,74100.0,51200.0,94800.0,21100.0,61900.0,17600.0,5700.0,700.0,1500.0,3300.0,25800.0,7700.0,1
126000.0,1,2,2,40,1,2,0,0,0,2,21300.0,31300.0,6200.0,65100.0,97700.0,18500.0,14600.0,23700.0,20800.0,7600.0,2900.0,6000.0,1
64000.0,1,1,1,50,0,-1,1,-1,-1,0,71700.0,30900.0,144000.0,90800.0,57200.0,17900.0,10100.0,1000.0,8500.0,2500.0,11000.0,5000.0,0
30000.0,2,4,1,39,1,0,-1,0,1,-1,38200.0,21000.0,39800.0,53900.0,31300.0,40600.0,10300.0,1100.0,3000.0,3000.0,13900.0,13800.0,0
157000.0,2,2,2,35,0,0,-1,-1,0,0,38500.0,25000.0,15200.0,65900.0,42800.0,42400.0,17000.0,1200.0,26700.0,6600.0,5500.0,3900.0,0
42000.0,2,1,2,30,0,0,0,-1,0,0,35400.0,28300.0,27600.0,30900.0,66100.0,18800.0,15500.0,7500.0,6600.0,16500.0,23400.0,8600.0,0
61000.0,2,2,1,41,0,0,-1,1,0,2,69900.0,48300.0,135900.0,45600.0,38400.0,61500.0,1900.0,9600.0,12500.0,1200.0,400.0,12900.0,0
150000.0,2,3,1,23,-1,0,0,-1,-1,-1,20300.0,4900.0,9400.0,60900.0,66500.0,28300.0,10400.0,11200.0,8000.0,22700.0,1200.0,3300.0,0
139000.0,1,3,1,41,0,0,-1,-1,0,-1,21700.0,36700.0,73500.0,29200.0,20600.0,14200.0,8200.0,3600.0,10300.0,1400.0,4400.0,10000.0,0
47000.0,1,1,2,50,-1,-1,0,-1,0,1,45100.0,39400.0,1300.0,126200.0,93400.0,29400.0,10300.0,21800.0,19300.0,3200.0,19100.0,14400.0,0
279000.0,1,3,2,39,0,0,0,-1,-1,-1,89800.0,22000.0,36900.0,14800.0,33700.0,41900.0,11200.0,2200.0,6100.0,17100.0,12300.0,12700.0,0
274000.0,1,2,1,21,0,0,0,0,2,2,37000.0,212500.0,29500.0,170100.0,113400.0,25800.0,39500.0,2700.0,13400.0,22800.0,10300.0,3300.0,0
194000.0,1,1,2,32,0,0,0,0,0,3,110600.0,38200.0,50700.0,32400.0,92100.0,51800.0,800.0,5600.0,27300.0,9400.0,4100.0,18500.0,1
194000.0,2,2,1,43,-1,0,0,2,-1,1,42700.0,32800.0,42000.0,7100.0,56100.0,52600.0,17400.0,1600.0,2400.0,1900.0,27200.0,14400.0,1
194000.0,2,2,1,31,-1,3,0,-1,0,0,8300.0,17800.0,23400.0,82700.0,60000.0,40700.0,21800.0,37700.0,5200.0,12600.0,8400.0,11100.0,0
258000.0,1,2,2,41,0,0,-1,0,0,0,31300.0,80600.0,75000.0,15400.0,91000.0,40800.0,13000.0,3300.0,27100.0,15900.0,15400.0,7300.0,0
213000.0,1,2,2,22,3,0,-1,1,2,1,22200.0,65100.0,25600.0,62300.0,5700.0,40600.0,23700.0,25400.0,38000.0,2100.0,9900.0,10900.0,0
68000.0,2,2,3,21,2,-1,0,-1,-1,2,84500.0,4500.0,37700.0,23700.0,38500.0,51000.0,800.0,11700.0,1500.0,4300.0,1800.0,3100.0,1
110000.0,1,2,1,35,2,0,-1,-1,0,0,127100.0,1800.0,50500.0,232400.0,73300.0,7500.0,31400.0,23800.0,51000.0,23300.0,17300.0,11100.0,0
544000.0,1,2,2,21,0,0,-1,0,0,0,26200.0,49800.0,58200.0,60100.0,38900.0,37600.0,11300.0,2600.0,1000.0,11500.0,13700.0,6700.0,1
19000.0,1,1,2,46,2,-1,1,0,-1,-1,85700.0,25100.0,14100.0,18800.0,54000.0,64400.0,13100.0,19800.0,26000.0,15100.0,700.0,19000.0,0
90000.0,2,2,2,28,-1,0,-1,0,-1,-1,11600.0,26800.0,7200.0,52800.0,66900.0,44400.0,14900.0,11200.0,2700.0,18700.0,8800.0,27900.0,0
280000.0,2,1,2,38,1,0,0,3,-1,0,63500.0,91300.0,54300.0,38000.0,13000.0,109100.0,11600.0,20400.0,4100.0,4700.0,10000.0,7700.0,0
72000.0,1,3,2,46,0,0,-1,0,-1,-1,59900.0,23400.0,23700.0,29900.0,24600.0,54900.0,6300.0,6200.0,17800.0,23300.0,8200.0,1500.0,0
217000.0,2,2,2,35,3,0,0,-1,-1,1,36100.0,122200.0,106500.0,58200.0,18000.0,102200.0,3400.0,19000.0,18700.0,19000.0,16300.0,2400.0,1
138000.0,2,1,2,27,0,-1,0,0,1,0,121400.0,79900.0,108200.0,72700.0,94400.0,208700.0,22700.0,5200.0,8500.0,5300.0,6900.0,20000.0,0
77000.0,1,2,2,29,0,0,0,0,0,3,37700.0,54100.0,70600.0,9500.0,45900.0,18500.0,5700.0,7000.0,2300.0,3400.0,15800.0,13600.0,0
14000.0,2,2,2,38,-1,0,0,0,-1,0,17100.0,34000.0,77000.0,125600.0,16100.0,43700.0,3600.0,8700.0,9100.0,9100.0,7000.0,16900.0,0
154000.0,1,1,2,27,2,0,0,0,0,1,42600.0,48500.0,55300.0,23700.0,101600.0,21100.0,20000.0,21600.0,10400.0,14700.0,15100.0,10100.0,0
67000.0,1,1,2,34,2,0,0,-1,2,0,20400.0,53700.0,3700.0,52700.0,18600.0,35500.0,2500.0,3400.0,22000.0,6900.0,1500.0,8300.0,0
122000.0,2,4,2,36,1,-1,0,3,2,-1,39100.0,51900.0,17500.0,102400.0,53000.0,92000.0,1300.0,4100.0,17000.0,7100.0,10900.0,1800.0,0
193000.0,1,2,2,31,0,0,-1,0,0,0,129800.0,36000.0,12000.0,65100.0,49900.0,73100.0,21600.0,7100.0,21100.0,14300.0,14200.0,4800.0,0
244000.0,1,1,2,21,0,1,0,0,0,1,19300.0,27400.0,32500.0,24000.0,17800.0,251800.0,8500.0,15100.0,4800.0,4500.0,6800.0,25200.0,0
90000.0,1,2,2,37,0,1,0,0,3,1,100900.0,29300.0,25600.0,32700.0,52100.0,31700.0,1200.0,11300.0,12000.0,21700.0,18200.0,900.0,1
77000.0,2,1,2,40,-1,0,-1,2,2,0,75200.0,20900.0,9500.0,15600.0,37500.0,47400.0,3300.0,12900.0,2300.0,5100.0,4400.0,33200.0,0
41000.0,2,1,1,27,-1,0,0,0,-1,0,6400.0,8700.0,14600.0,85100.0,21100.0,36700.0,10300.0,5000.0,14100.0,16500.0,7500.0,3700.0,0
252000.0,2,1,2,38,-1,0,0,-1,0,-1,100400.0,19400.0,65100.0,38600.0,64700.0,55100.0,6200.0,6200.0,4900.0,11400.0,13500.0,4400.0,0
495000.0,2,2,1,30,-1,2,-1,0,-1,-1,24600.0,98300.0,40400.0,11200.0,105200.0,27000.0,20700.0,4400.0,6600.0,21900.0,8700.0,8700.0,0
271000.0,1,1,1,21,0,0,-1,0,-1,0,5000.0,9900.0,17100.0,41100.0,18500.0,33000.0,8200.0,3500.0,8900.0,8600.0,15400.0,27900.0,0
312000.0,2,2,1,30,0,-1,3,0,0,-1,77900.0,52500.0,25800.0,32200.0,89000.0,13100.0,13200.0,10700.0,3300.0,4100.0,3400.0,20300.0,0
